at,organization,endpoints,cache_metered,cache_percent
2026-04-01T00:00:00.000Z,Crusoe,4,4,100.0
2026-04-01T00:00:00.000Z,DeepInfra,63,19,30.158730158730158
2026-04-01T00:00:00.000Z,DeepSeek,1,1,100.0
2026-04-01T00:00:00.000Z,Featherless,2,0,0.0
2026-04-01T00:00:00.000Z,Fireworks,7,7,100.0
2026-04-01T00:00:00.000Z,Friendli,8,7,87.5
2026-04-01T00:00:00.000Z,GMICloud,1,0,0.0
2026-04-01T00:00:00.000Z,Google,54,35,64.81481481481481
2026-04-01T00:00:00.000Z,Google AI Studio,18,11,61.111111111111114
2026-04-01T00:00:00.000Z,Groq,8,6,75.0
2026-04-01T00:00:00.000Z,Inception,3,3,100.0
2026-04-01T00:00:00.000Z,Inceptron,3,2,66.66666666666667
2026-04-01T00:00:00.000Z,Infermatic,2,0,0.0
2026-04-01T00:00:00.000Z,Inflection,2,0,0.0
2026-04-01T00:00:00.000Z,Io Net,4,4,100.0
2026-04-01T00:00:00.000Z,Ionstream,3,3,100.0
2026-04-01T00:00:00.000Z,Liquid,4,0,0.0
2026-04-01T00:00:00.000Z,Mancer 2,5,0,0.0
2026-04-01T00:00:00.000Z,Minimax,10,7,70.0
2026-04-01T00:00:00.000Z,Mistral,21,21,100.0
2026-04-01T00:00:00.000Z,ModelRun,2,2,100.0
2026-04-01T00:00:00.000Z,Moonshot AI,1,1,100.0
2026-04-01T00:00:00.000Z,Morph,2,0,0.0
2026-04-01T00:00:00.000Z,Nebius,28,0,0.0
2026-04-01T00:00:00.000Z,NextBit,17,1,5.882352941176471
2026-04-01T00:00:00.000Z,Novita,65,19,29.23076923076923
2026-04-01T00:00:00.000Z,Nvidia,4,0,0.0
2026-04-01T00:00:00.000Z,OpenAI,56,36,64.28571428571429
2026-04-01T00:00:00.000Z,OpenInference,3,0,0.0
2026-04-01T00:00:00.000Z,Parasail,24,0,0.0
2026-04-01T00:00:00.000Z,Perplexity,5,0,0.0
2026-04-01T00:00:00.000Z,Phala,8,0,0.0
2026-04-01T00:00:00.000Z,Reka,2,0,0.0
2026-04-01T00:00:00.000Z,Relace,2,0,0.0
2026-04-01T00:00:00.000Z,SambaNova,13,0,0.0
2026-04-01T00:00:00.000Z,Seed,4,0,0.0
2026-04-01T00:00:00.000Z,SiliconFlow,30,5,16.666666666666668
